"GEOID","hhs_0k_10k","hhs_100k_125k","hhs_10k_15k","hhs_125k_150k","hhs_150k_200k","hhs_15k_20k","hhs_20k_25k","hhs_25k_30k","hhs_30k_35k","hhs_35k_40k","hhs_40k_45k","hhs_45k_50k","hhs_50k_60k","hhs_60k_75k","hhs_75k_100k","hhs_above_200k","hhs_total","hhs_below_eli","hhs_below_ami50","hhs_below_ami80","hhs_below_ami100","hhs_below_ami120","pct_below_eli","pct_below_ami50","pct_below_ami80","pct_below_ami100","pct_below_ami120"
"482011000001",87,21,99,58,60,59,0,12,0,10,0,27,14,52,70,358,927,246.8,263.3,311.64,363.64,406.368,0.266235167206041,0.28403451995685,0.336181229773463,0.3922761596548,0.438368932038835
"482011000002",47,40,10,30,51,27,28,0,11,0,32,34,54,88,66,47,565,112,123,249.16,334.432,374.7184,0.198230088495575,0.217699115044248,0.440991150442478,0.591915044247788,0.663218407079646
"482011000003",13,57,9,66,128,35,0,0,10,9,10,0,73,43,109,185,747,57,72.67,162.01,207.668,274.2016,0.0763052208835341,0.0972824631860777,0.216880856760375,0.278002677376171,0.367070414993307
"482012101001",0,0,0,0,43,0,0,0,0,0,0,0,6,0,14,13,76,0,0,6,6.728,15.2736,0,0,0.0789473684210526,0.0885263157894737,0.200968421052632
"482012104001",0,0,0,0,0,35,87,11,11,25,29,0,15,0,61,0,274,123.65,159.75,213,216.172,253.4064,0.451277372262774,0.583029197080292,0.777372262773723,0.788948905109489,0.924840875912409
"482012104002",19,11,0,0,0,28,7,0,22,20,0,0,0,0,43,7,157,54,88.6,96,98.236,124.4832,0.343949044585987,0.564331210191083,0.611464968152866,0.625707006369427,0.792886624203822
"482012104003",215,35,139,0,0,24,48,52,18,35,11,47,12,23,35,0,694,433.8,518.05,602.61,625.82,647.184,0.62507204610951,0.746469740634006,0.868314121037464,0.901757925072046,0.932541786743516
"482012104004",48,19,88,10,10,48,40,28,30,9,32,21,80,21,0,0,484,228.2,287.67,425.47,445,445,0.471487603305785,0.594359504132231,0.879070247933884,0.919421487603306,0.919421487603306
"482012105001",125,36,27,0,6,102,0,65,60,50,83,35,71,7,27,26,720,263.75,410.5,618.49,626.404,642.8848,0.366319444444444,0.570138888888889,0.859013888888889,0.870005555555556,0.892895555555556
"482012105002",85,13,39,0,11,31,35,46,76,85,17,57,61,24,64,0,644,196.9,365.55,533.68,559.328,598.3936,0.305745341614907,0.567624223602484,0.828695652173913,0.868521739130435,0.929182608695652
"482012105003",19,0,72,0,9,79,47,14,56,18,62,8,29,19,53,0,485,219.1,298.34,405.33,425.756,458.1072,0.451752577319588,0.615134020618557,0.835731958762887,0.877847422680412,0.944550927835051
"482012106001",0,123,45,12,22,0,24,0,0,0,0,0,19,26,42,24,337,69,69,89.82,116.184,141.8208,0.204747774480712,0.204747774480712,0.266528189910979,0.344759643916914,0.420833234421365
"482012106002",22,0,13,32,0,0,0,14,16,25,58,12,66,11,84,19,372,37.1,80.75,226.77,241.368,292.6416,0.0997311827956989,0.217069892473118,0.609596774193548,0.648838709677419,0.786670967741935
"482012106003",65,82,0,0,80,58,34,80,72,31,42,20,71,105,56,0,796,169,328.53,480.35,580.912,615.0944,0.212311557788945,0.412726130653266,0.603454773869347,0.729788944723618,0.772731658291457
"482012106004",48,13,50,10,26,62,103,66,14,0,16,0,25,20,61,19,533,272.9,343,385.4,407.172,444.4064,0.512007504690431,0.643527204502814,0.723076923076923,0.763924953095685,0.833783114446529
"482012107001",4,36,16,0,5,23,24,8,19,9,0,14,36,6,40,0,240,68.2,99.67,153.42,161.08,185.496,0.284166666666667,0.415291666666667,0.63925,0.671166666666667,0.7729
"482012107002",15,29,19,4,7,9,8,45,9,62,32,0,17,32,18,0,306,57.75,144.06,218.24,248.936,259.9232,0.188725490196078,0.47078431372549,0.713202614379085,0.813516339869281,0.849422222222222
"482012107003",24,0,0,0,0,43,0,40,19,21,24,11,16,4,0,0,202,73,139.23,198.28,202,202,0.361386138613861,0.689257425742574,0.981584158415842,1,1
"482012108001",95,6,45,0,6,58,37,18,0,36,9,27,19,70,40,0,466,237.7,275.68,348.9,416.08,440.496,0.510085836909871,0.591587982832618,0.748712446351931,0.892875536480687,0.945270386266094
"482012108002",20,40,12,13,0,82,57,10,63,21,14,7,6,30,56,0,431,172.5,257.23,294.1,324.912,359.0944,0.400232018561485,0.596821345707657,0.682366589327146,0.753856148491879,0.8331656612529
"482012109001",58,0,20,0,11,57,16,6,30,36,16,25,43,0,10,7,335,151.9,209.68,307,307.52,313.624,0.453432835820896,0.625910447761194,0.916417910447761,0.917970149253731,0.936191044776119
"482012109002",55,0,27,0,0,13,16,0,45,19,0,0,6,0,11,0,192,111,167.97,181,181.572,188.2864,0.578125,0.87484375,0.942708333333333,0.9456875,0.980658333333333
"482012110001",42,0,22,0,0,28,33,45,25,14,42,29,27,67,9,0,383,131.75,203.82,311.69,374.468,379.9616,0.343994778067885,0.532167101827676,0.813812010443864,0.977723237597911,0.99206684073107
"482012110002",85,0,32,0,0,7,43,12,38,21,36,0,30,36,23,0,363,168.8,230.23,306.52,341.196,355.2352,0.465013774104683,0.634242424242424,0.844407713498623,0.939933884297521,0.978609366391185
"482012111001",48,0,12,0,0,66,80,60,21,9,18,42,27,14,39,0,436,215,292.67,383.98,399.028,422.8336,0.493119266055046,0.671261467889908,0.880688073394496,0.915201834862385,0.969801834862385
"482012111002",0,0,90,0,0,0,22,0,80,0,21,10,0,0,0,0,223,112,192,223,223,223,0.502242152466368,0.860986547085202,1,1,1
"482012111003",58,10,0,0,0,18,42,25,0,0,0,0,11,48,0,0,212,121.75,143,157.36,202,202,0.574292452830189,0.674528301886792,0.742264150943396,0.952830188679245,0.952830188679245
"482012111004",57,0,20,24,0,0,132,20,0,0,38,9,9,10,0,0,319,212,229,285.7,295,295,0.664576802507837,0.717868338557994,0.895611285266458,0.924764890282132,0.924764890282132
"482012111005",158,17,55,0,0,22,0,49,0,0,0,8,0,62,0,0,371,242.35,284,296.34,354,354,0.653234501347709,0.765498652291105,0.798760107816711,0.954177897574124,0.954177897574124
"482012111006",76,0,106,0,24,24,23,40,27,0,27,33,21,27,8,0,436,235,296,378.89,404.416,409.2992,0.538990825688073,0.678899082568807,0.86901376146789,0.927559633027523,0.938759633027523
"482012112001",62,9,11,0,0,12,15,81,32,0,30,0,25,13,29,0,319,112.15,213,268.91,282.508,300.2096,0.351567398119122,0.667711598746082,0.842978056426332,0.885605015673981,0.94109592476489
"482012112002",117,10,74,0,0,39,51,80,0,0,0,0,66,0,0,0,437,293,361,427,427,427,0.670480549199085,0.826086956521739,0.977116704805492,0.977116704805492,0.977116704805492
"482012112003",22,54,15,0,0,17,8,0,50,30,0,0,10,0,7,0,213,62,130.9,152,152.364,156.6368,0.291079812206573,0.614553990610329,0.713615023474178,0.715323943661972,0.735384037558685
"482012113001",96,22,92,0,0,3,52,15,45,0,41,19,0,0,0,0,385,245.25,303,363,363,363,0.637012987012987,0.787012987012987,0.942857142857143,0.942857142857143,0.942857142857143
"482012113002",190,20,92,0,0,45,70,7,16,16,0,0,29,21,10,0,516,398.05,430.08,466.47,486.52,492.624,0.771414728682171,0.833488372093023,0.904011627906977,0.942868217054263,0.954697674418605
"482012113003",29,0,93,0,10,8,31,83,6,17,31,14,71,21,0,30,444,173.45,260.71,384.47,404,404,0.390653153153153,0.587184684684685,0.865923423423423,0.90990990990991,0.90990990990991
